"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06001","Alameda","1999","35%","","703,263","Concentration: (0-<=10)"
"06","California","06001","Alameda","1999","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","1999","65%","","1,300,990","Concentration: (not-detected)"
"06","California","06001","Alameda","2000","28%","","557,105","Concentration: (0-<=10)"
"06","California","06001","Alameda","2000","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2000","72%","","1,447,148","Concentration: (not-detected)"
"06","California","06001","Alameda","2001","28%","","555,405","Concentration: (0-<=10)"
"06","California","06001","Alameda","2001","0%","","750","Concentration: (>10)"
"06","California","06001","Alameda","2001","72%","","1,446,514","Concentration: (not-detected)"
"06","California","06001","Alameda","2002","28%","","555,305","Concentration: (0-<=10)"
"06","California","06001","Alameda","2002","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2002","72%","","1,447,264","Concentration: (not-detected)"
"06","California","06001","Alameda","2003","28%","","555,305","Concentration: (0-<=10)"
"06","California","06001","Alameda","2003","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2003","72%","","1,447,264","Concentration: (not-detected)"
"06","California","06001","Alameda","2004","93%","","1,856,055","Concentration: (0-<=10)"
"06","California","06001","Alameda","2004","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2004","7%","","146,514","Concentration: (not-detected)"
"06","California","06001","Alameda","2005","28%","","555,405","Concentration: (0-<=10)"
"06","California","06001","Alameda","2005","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2005","72%","","1,447,148","Concentration: (not-detected)"
"06","California","06001","Alameda","2006","100%","","2,002,453","Concentration: (0-<=10)"
"06","California","06001","Alameda","2006","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2006","0%","","116","Concentration: (not-detected)"
"06","California","06001","Alameda","2007","28%","","555,305","Concentration: (0-<=10)"
"06","California","06001","Alameda","2007","0%","","0","Concentration: (>10)"
