"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment","Number of people","Concentration"
"06","California","06001","Alameda","1999","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","1999","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","1999","100%","","2,004,253","Concentration: (not-detected)"
"06","California","06001","Alameda","2000","3%","","57,200","Concentration: (0-<=10)"
"06","California","06001","Alameda","2000","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2000","97%","","1,946,813","Concentration: (not-detected)"
"06","California","06001","Alameda","2001","3%","","57,200","Concentration: (0-<=10)"
"06","California","06001","Alameda","2001","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2001","97%","","1,945,113","Concentration: (not-detected)"
"06","California","06001","Alameda","2002","3%","","57,440","Concentration: (0-<=10)"
"06","California","06001","Alameda","2002","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2002","97%","","1,945,013","Concentration: (not-detected)"
"06","California","06001","Alameda","2003","3%","","57,200","Concentration: (0-<=10)"
"06","California","06001","Alameda","2003","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2003","97%","","1,945,129","Concentration: (not-detected)"
"06","California","06001","Alameda","2004","3%","","57,200","Concentration: (0-<=10)"
"06","California","06001","Alameda","2004","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2004","97%","","1,945,013","Concentration: (not-detected)"
"06","California","06001","Alameda","2005","11%","","226,980","Concentration: (0-<=10)"
"06","California","06001","Alameda","2005","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2005","89%","","1,775,573","Concentration: (not-detected)"
"06","California","06001","Alameda","2006","3%","","57,200","Concentration: (0-<=10)"
"06","California","06001","Alameda","2006","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2006","97%","","1,945,129","Concentration: (not-detected)"
"06","California","06001","Alameda","2007","11%","","226,740","Concentration: (0-<=10)"
"06","California","06001","Alameda","2007","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2007","89%","","1,775,923","Concentration: (not-detected)"
"06","California","06001","Alameda","2008","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","2008","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2008","100%","","2,002,903","Concentration: (not-detected)"
"06","California","06001","Alameda","2009","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","2009","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2009","100%","","2,002,663","Concentration: (not-detected)"
"06","California","06001","Alameda","2010","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","2010","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2010","100%","","2,002,663","Concentration: (not-detected)"
"06","California","06001","Alameda","2011","0%","","240","Concentration: (0-<=10)"
"06","California","06001","Alameda","2011","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2011","100%","","2,002,663","Concentration: (not-detected)"
"06","California","06001","Alameda","2012","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","2012","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2012","100%","","2,002,663","Concentration: (not-detected)"
"06","California","06001","Alameda","2013","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","2013","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2013","100%","","1,719,000","Concentration: (not-detected)"
"06","California","06001","Alameda","2014","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","2014","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2014","100%","","1,719,000","Concentration: (not-detected)"
"06","California","06001","Alameda","2015","3%","","56,700","Concentration: (0-<=10)"
"06","California","06001","Alameda","2015","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2015","97%","","1,719,000","Concentration: (not-detected)"
"06","California","06001","Alameda","2016","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","2016","0%","","0","Concentration: (>10)"
"06","California","06001","Alameda","2016","100%","","1,719,490","Concentration: (not-detected)"
"06","California","06001","Alameda","2017","0%","","0","Concentration: (0-<=10)"
"06","California","06001","Alameda","2017","0%","","0","Concentration: (>10)"
