"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2004","8.33","",
"01","Alabama","01001","Autauga","2005","8.82","",
"01","Alabama","01001","Autauga","2006","9.14","",
"01","Alabama","01001","Autauga","2007","9.38","",
"01","Alabama","01001","Autauga","2008","9.35","",
"01","Alabama","01001","Autauga","2009","9.32","",
"01","Alabama","01001","Autauga","2010","9.41","",
"01","Alabama","01001","Autauga","2011","8.95","",
"01","Alabama","01001","Autauga","2012","8.77","",
"01","Alabama","01001","Autauga","2013","8.18","",
"01","Alabama","01001","Autauga","2014","8.46","",
"01","Alabama","01001","Autauga","2015","8.44","",
"01","Alabama","01001","Autauga","2016","8.98","",
"01","Alabama","01001","Autauga","2017","10.03","",
"01","Alabama","01001","Autauga","2018","8.55","",
"01","Alabama","01003","Baldwin","2004","9.73","",
"01","Alabama","01003","Baldwin","2005","9.40","",
"01","Alabama","01003","Baldwin","2006","8.84","",
"01","Alabama","01003","Baldwin","2007","8.58","",
"01","Alabama","01003","Baldwin","2008","8.31","",
"01","Alabama","01003","Baldwin","2009","8.24","",
"01","Alabama","01003","Baldwin","2010","8.19","",
"01","Alabama","01003","Baldwin","2011","8.16","",
"01","Alabama","01003","Baldwin","2012","8.17","",
"01","Alabama","01003","Baldwin","2013","8.37","",
"01","Alabama","01003","Baldwin","2014","8.44","",
"01","Alabama","01003","Baldwin","2015","8.33","",
"01","Alabama","01003","Baldwin","2016","8.51","",
"01","Alabama","01003","Baldwin","2017","9.76","",
"01","Alabama","01003","Baldwin","2018","8.05","",
"01","Alabama","01005","Barbour","2004","10.10","",
"01","Alabama","01005","Barbour","2005","9.70","",
"01","Alabama","01005","Barbour","2006","10.48","",
"01","Alabama","01005","Barbour","2007","9.99","",
"01","Alabama","01005","Barbour","2008","10.38","",
"01","Alabama","01005","Barbour","2009","10.46","",
"01","Alabama","01005","Barbour","2010","9.83","",
"01","Alabama","01005","Barbour","2011","9.56","",
"01","Alabama","01005","Barbour","2012","10.55","",
"01","Alabama","01005","Barbour","2013","9.38","",
"01","Alabama","01005","Barbour","2014","9.16","",
"01","Alabama","01005","Barbour","2015","9.20","",
"01","Alabama","01005","Barbour","2016","8.80","",
"01","Alabama","01005","Barbour","2017","9.12","",
"01","Alabama","01005","Barbour","2018","8.29","",
"01","Alabama","01007","Bibb","2004","10.76","",
"01","Alabama","01007","Bibb","2005","10.52","",
"01","Alabama","01007","Bibb","2006","10.26","",
"01","Alabama","01007","Bibb","2007","10.66","",
"01","Alabama","01007","Bibb","2008","10.91","",
"01","Alabama","01007","Bibb","2009","10.62","",
"01","Alabama","01007","Bibb","2010","10.53","",
"01","Alabama","01007","Bibb","2011","10.11","",
"01","Alabama","01007","Bibb","2012","9.78","",
"01","Alabama","01007","Bibb","2013","9.42","",
"01","Alabama","01007","Bibb","2014","9.52","",
"01","Alabama","01007","Bibb","2015","9.30","",
"01","Alabama","01007","Bibb","2016","9.56","",
"01","Alabama","01007","Bibb","2017","10.88","",
"01","Alabama","01007","Bibb","2018","9.05","",
"01","Alabama","01009","Blount","2004","10.18","",
"01","Alabama","01009","Blount","2005","10.21","",
"01","Alabama","01009","Blount","2006","9.79","",
"01","Alabama","01009","Blount","2007","10.14","",
"01","Alabama","01009","Blount","2008","10.49","",
"01","Alabama","01009","Blount","2009","10.26","",
"01","Alabama","01009","Blount","2010","10.21","",
"01","Alabama","01009","Blount","2011","10.16","",
"01","Alabama","01009","Blount","2012","9.64","",
"01","Alabama","01009","Blount","2013","9.44","",
"01","Alabama","01009","Blount","2014","9.69","",
"01","Alabama","01009","Blount","2015","9.23","",
"01","Alabama","01009","Blount","2016","9.26","",
"01","Alabama","01009","Blount","2017","10.60","",
"01","Alabama","01009","Blount","2018","8.58","",
"01","Alabama","01011","Bullock","2004","9.45","",
"01","Alabama","01011","Bullock","2005","9.87","",
"01","Alabama","01011","Bullock","2006","10.53","",
"01","Alabama","01011","Bullock","2007","10.80","",
"01","Alabama","01011","Bullock","2008","10.94","",
"01","Alabama","01011","Bullock","2009","10.97","",
"01","Alabama","01011","Bullock","2010","10.76","",
"01","Alabama","01011","Bullock","2011","10.19","",
"01","Alabama","01011","Bullock","2012","9.97","",
"01","Alabama","01011","Bullock","2013","9.48","",
"01","Alabama","01011","Bullock","2014","9.69","",
"01","Alabama","01011","Bullock","2015","9.69","",
"01","Alabama","01011","Bullock","2016","9.80","",
"01","Alabama","01011","Bullock","2017","10.80","",
"01","Alabama","01011","Bullock","2018","9.34","",
"01","Alabama","01013","Butler","2004","8.59","",
"01","Alabama","01013","Butler","2005","9.27","",
"01","Alabama","01013","Butler","2006","8.78","",
"01","Alabama","01013","Butler","2007","8.35","",
"01","Alabama","01013","Butler","2008","8.77","",
"01","Alabama","01013","Butler","2009","8.67","",
"01","Alabama","01013","Butler","2010","8.30","",
"01","Alabama","01013","Butler","2011","8.88","",
"01","Alabama","01013","Butler","2012","9.15","",
"01","Alabama","01013","Butler","2013","8.89","",
"01","Alabama","01013","Butler","2014","9.64","",
"01","Alabama","01013","Butler","2015","9.27","",
"01","Alabama","01013","Butler","2016","9.10","",
"01","Alabama","01013","Butler","2017","9.58","",
"01","Alabama","01013","Butler","2018","8.23","",
"01","Alabama","01015","Calhoun","2004","8.47","",
"01","Alabama","01015","Calhoun","2005","8.60","",
"01","Alabama","01015","Calhoun","2006","8.64","",
"01","Alabama","01015","Calhoun","2007","9.28","",
"01","Alabama","01015","Calhoun","2008","9.50","",
"01","Alabama","01015","Calhoun","2009","10.12","",
"01","Alabama","01015","Calhoun","2010","9.90","",
"01","Alabama","01015","Calhoun","2011","10.45","",
"01","Alabama","01015","Calhoun","2012","9.49","",
"01","Alabama","01015","Calhoun","2013","9.30","",
"01","Alabama","01015","Calhoun","2014","9.06","",
"01","Alabama","01015","Calhoun","2015","8.65","",
"01","Alabama","01015","Calhoun","2016","8.31","",
"01","Alabama","01015","Calhoun","2017","9.38","",
"01","Alabama","01015","Calhoun","2018","7.48","",
"01","Alabama","01017","Chambers","2004","7.86","",
"01","Alabama","01017","Chambers","2005","7.85","",
"01","Alabama","01017","Chambers","2006","7.61","",
"01","Alabama","01017","Chambers","2007","8.00","",
"01","Alabama","01017","Chambers","2008","8.27","",
"01","Alabama","01017","Chambers","2009","9.09","",
"01","Alabama","01017","Chambers","2010","8.89","",
"01","Alabama","01017","Chambers","2011","8.98","",
"01","Alabama","01017","Chambers","2012","8.31","",
"01","Alabama","01017","Chambers","2013","7.97","",
